City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
217,howrah,22.5892,88.3103,78.8,73,40,3.44,IN,1698509603
218,iskateley,67.6803,53.1512,10.02,90,72,8.01,RU,1698509603
219,amga,60.8953,131.9608,9.91,96,82,3.09,RU,1698509604
220,cidreira,-30.1811,-50.2056,73.51,73,100,13.47,BR,1698509604
221,bereket,39.2446,55.5154,73.58,43,3,11.05,TM,1698509605
222,beloyarsk,53.4461,83.9048,30.06,82,4,3.13,RU,1698509476
223,tralee,52.2704,-9.7026,53.85,82,40,6.91,IE,1698509605
224,nabire,-3.3667,135.4833,76.48,91,100,4.0,ID,1698509606
225,hawaiian paradise park,19.5933,-154.9731,70.03,85,40,6.91,US,1698509606
226,st. john's,47.5649,-52.7093,55.78,98,100,17.27,CA,1698509544
227,greymouth,-42.4667,171.2,42.44,91,59,4.43,NZ,1698509607
228,longyearbyen,78.2186,15.6401,26.44,86,75,6.91,SJ,1698509608
229,colonia,50.9333,6.95,56.97,78,100,9.22,DE,1698509601
230,naqadeh,36.9553,45.388,62.94,45,6,5.39,IR,1698509608
231,al bayda,32.7627,21.7551,66.45,64,0,4.81,LY,1698509609
232,souillac,-20.5167,57.5167,75.58,88,40,2.3,MU,1698509609
233,mejit,10.2753,170.8646,83.43,73,83,17.9,MH,1698509610
234,sisimiut,66.9395,-53.6735,24.62,77,78,10.13,GL,1698509610
235,kayangel,8.0823,134.7173,82.83,71,100,2.71,PW,1698509611
236,aconibe,1.2968,10.9369,76.66,84,90,1.36,GQ,1698509611
237,manokwari,-0.8667,134.0833,77.67,84,100,5.01,ID,1698509612
238,xining,36.6167,101.7667,45.61,43,6,0.2,CN,1698509612
239,caleta de carquin,-11.0925,-77.6267,70.95,75,97,12.53,PE,1698509613
240,sao vicente,-23.9631,-46.3919,91.58,65,96,4.7,BR,1698509355
241,brookings,44.3114,-96.7984,25.12,87,100,8.05,US,1698509314
242,nacala,-14.5428,40.6728,79.05,85,1,9.93,MZ,1698509614
243,swift current,50.2834,-107.8014,16.41,81,97,10.4,CA,1698509422
244,port saint john's,-31.6229,29.5448,60.26,90,100,14.97,ZA,1698509615
245,kalmunai,7.4167,81.8167,80.65,76,97,2.64,LK,1698509615
246,newman,37.3138,-121.0208,50.25,48,63,3.0,US,1698509616
247,fakenham,52.83,0.8477,55.27,79,61,1.99,GB,1698509616
248,fristad,65.2,16.7167,18.82,98,23,1.54,SE,1698509616
249,ugoofaaru,5.6667,73.0,82.9,74,31,8.48,MV,1698509617
250,kapuskasing,49.4169,-82.4331,28.4,74,100,12.66,CA,1698509617
251,nanning,22.8167,108.3167,73.35,74,95,2.46,CN,1698509617
252,okhotsk,59.3833,143.3,25.47,83,99,13.53,RU,1698509618
253,aswan,24.0934,32.907,96.1,21,0,9.22,EG,1698509618
254,swan hill,-35.3378,143.5544,53.74,38,2,2.39,AU,1698509619
255,taltal,-25.4,-70.4833,64.58,67,13,6.96,CL,1698509619
256,miri,4.4148,114.0089,78.15,85,89,3.06,MY,1698509619
257,mount isa,-20.7333,139.5,78.57,9,4,6.91,AU,1698509620
258,de aar,-30.6497,24.0123,55.17,46,100,28.36,ZA,1698509620
259,katabu,-4.9333,122.5167,73.98,89,69,4.14,ID,1698509620
260,ujae,8.9322,165.7642,83.39,75,13,11.07,MH,1698509621
261,alta,69.9689,23.2717,22.26,81,0,6.91,NO,1698509621
262,meijel,51.3443,5.8855,56.1,86,53,14.58,NL,1698509621
